"aud_code","title","report_type","company","emission_date","objetivo","risco_processo","escopo","alcance","cronograma_inicio","cronograma_draft","cronograma_final","classification","source_s3_uri","ingestion_ts","ano","mes"
"AUD-1794391","Gestão de Contratos de Manutenção - Eólica","Relatório Final",,"2025-09-30","Avaliar a adequação dos controles para cumprimento dos contratos de manutenção.","Falhas
operacionais
por
descumprimentos
de
condições
contratuais
pelos
fornecedores","▪
Avaliar o cumprimento das condições contratuais;
▪
Avaliar a adequação dos pagamentos.","Contratos vigentes em junho/2025 e base de pagamentos e gestão das atividades do
período de janeiro a junho/25.
Serão avaliados os aspectos de Gerenciamento de Riscos e Controles","2025-07-10","2025-09-22","2025-09-30","Satisfatório com melhorias","s3://auditneo/raw/rel/head/year=2025/Relatório  Final - Gestão de Contratos de Manutenção.json","2026-02-13T18:32:04.231896+00:00","2025","09"
"AUD-1794319","AUDITORIA INTERNA TESTE SEMESTRAL SCIIF 2º semestre 2024","Relatório Final",,"2025-02-20","Unidades organizacionais: Diretoria Executiva de Controle Patrimonial e Planejamento.
Período auditado: Junho a Dezembro de 2024
Revisar a efetiva execução e documentação dos controles classificados com risco residual alto e controles
considerados críticos pela Auditoria Interna na ferramenta de controles internos;
Conclusão dos demais controles associados ao processo de elaboração da Informação Econômico
Financeira em 31 de Dezembro de 2024.
Data de extração da matriz: 17/12/2024.",,,,,,,,"s3://auditneo/raw/rel/head/year=2025/Relatório Final - SCIIF Semestral 2H2024.json","2026-02-13T18:32:07.126677+00:00","2025","02"
"AUD-1794349","Incentivo SUDENE","Relatório Final",,"2025-05-30","Validar a estrutura e consistência do cálculo de incentivos SUDENE para as empresas do 
Nordeste.","Penalidades fiscais e inconsistência das informações financeiras.","Validar o adequado cálculo e registro dos incentivos SUDENE","Corporativo – Todas as empresas que tenham o benefício SUDENE","2025-02-24","2025-05-22","2025-05-30","Satisfatório com melhorias","s3://auditneo/raw/rel/head/year=2025/Relatório Final - Incentivos SUDENE.json","2026-02-13T18:32:06.115983+00:00","2025","05"
"AUD-1464308","Processo de Faturamento","Relatório Final","Neoenergia Cosern","2024-10-01","▪
Avaliar a adequação do processo de Faturamento do Grupo A e B, a interface dos
sistemas e respectivos recálculos;
▪
Verificar o cumprimento dos procedimentos quanto as retificações (refaturamento) de
faturas definidos.","Perda financeira e imagem.","▪
Avaliar a adequação dos procedimentos de faturamento dos grupos A e B.
▪
Verificar o cumprimento dos procedimentos e controle quanto as retificações das
faturas.","Janeiro a Maio/2024.",,"2024-09-12","2024-10-01","Satisfatório com melhorias","s3://auditneo/raw/rel/head/year=2024/Relatorio Final de Auditoria - Processo de Faturamento NCSR.json","2026-02-13T18:31:54.041882+00:00","2024","10"
"AUD-1464308","Processo de Faturamento","Relatório Final","Neoenergia Coelba","2024-10-01","▪
Avaliar a adequação do processo de Faturamento do Grupo A e B, a interface dos
sistemas e respectivos recálculos;
▪
Verificar o cumprimento dos procedimentos quanto as retificações (refaturamento) de
faturas definidos.","Perda financeira e imagem.","▪
Avaliar a adequação dos procedimentos de faturamento dos grupos A e B.
▪
Verificar o cumprimento dos procedimentos e controle quanto as retificações das
faturas.","Janeiro a Maio/2024.",,"2024-09-12","2024-10-01","Satisfatório com melhorias","s3://auditneo/raw/rel/head/year=2024/Relatorio Final de Auditoria - Processo de Faturamento NCLB.json","2026-02-13T18:31:53.854595+00:00","2024","10"
"AUD-1464310","Parcelamento de Débitos","Relatório Final","Neoenergia Elektro","2024-07-03",,"A","Ɩ Verificar o cumprimento dos procedimentos estabelecidos para o parcelamento de 
débitos de energia e troca de titularidade;","Janeiro a Dezembro de 2023.",,"2024-06-24","2024-07-03",,"s3://auditneo/raw/rel/head/year=2024/Relatório Final de Auditoria - Parcelamento de Débitos - Neoenergia Elektro.json","2026-02-13T18:32:01.376230+00:00","2024","07"
"AUD-1464329","Programa de Manutenção Eólica e Solar","Relatório Final",,"2024-08-09","•
Verificar o cumprimento do programa de manutenção preventiva e atuação nas 
manutenções corretivas.
•
Verificar a adequação do cálculo do índice de disponibilidade dos parques eólicos e 
usinas fotovoltaicas.","Indisponibilidade dos parques eólicos e fotovoltaicos","
Verificar o cumprimento do programa de manutenção preventiva e atuação nas 
manutenções corretivas;

Verificar a adequação do cálculo do índice de disponibilidade dos parques eólicos e 
usinas fotovoltaicas.","Parques eólicos e usinas fotovoltaicas Grupo Neoenergia em maio/2024.","2024-05-01","2024-08-09","2024-09-06","Satisfatório com melhorias","s3://auditneo/raw/rel/head/year=2024/Relatório Final - Manutenção Eólica e Solar.json","2026-02-13T18:31:57.441461+00:00","2024","08"
"AUD-1794349","Conformidade Ambiental Distribuição","Relatório Final","Neoenergia Elektro","2025-06-16","Verificar o cumprimento das legislações ambientais e condicionantes.","Não obtenção, suspensão ou cancelamento das licenças ambientais.","▪
Avaliar o rito do processo de licenciamento, autorização e anuência ambiental para
construções
e
alterações
de
redes
e
subestações
de
distribuição,
linhas
e
subestações de subtransmissão
▪
Avaliar os mecanismos de controles adotados para cumprimento das condicionantes
ambientais","Projetos licenciados em 2024 e posição de projetos remanescente em dezembro de
2024.","2025-02-17","2025-06-02","2025-06-16","Satisfatório com melhorias","s3://auditneo/raw/rel/head/year=2025/Relatorio Final de Auditoria - CAD - NEKT.json","2026-02-13T18:32:03.877959+00:00","2025","06"
"AUD-1464317","Processo de Arrecadação","Relatório Final","Neoenergia Coelba","2024-12-18","Perda financeira e menor fluxo de caixa","
Avaliar os controles do processamento de arrecadação de faturamento

Avaliar o processo de conciliação e registro contábil da arrecadação","Julho a Setembro/2024","18/12/2024
Relatório
Final
16/12/2024
Draft
emitido
01/10/2024
Data início 
do trabalho",,,,"Satisfatório com melhorias","s3://auditneo/raw/rel/head/year=2024/Relatório Final - Processo Arrecadação - Neo Coelba.json","2026-02-13T18:31:57.937411+00:00","2024","12"
"AUD-1794381","Follow Up Parcelamento e Troca de Titularidade","Relatório Final","Neoenergia Cosern","2025-09-10","Verificar o cumprimento dos procedimentos estabelecidos para o parcelamento de 
débitos de energia, bem como ao processo de troca de titularidade.","Aumento do contas a receber/ inadimplência.","▪
Objetivo 1: Follow-up das recomendações do trabalho de Parcelamento de Débito
realizado em 2024: Analisar efetividade das recomendações sugeridas nos trabalhos,
reperformando os controles e validando evidências atuais quando necessário.
▪
Objetivo
2:
Analisar
as
execuções
e
efetividade
dos
Controles
Internos
implementados no processo de Parcelamento de Débito e troca de titularidade:
Avaliar as últimas 3 execuções dos Controles e seus respectivos desenhos.","Distribuidoras Neoenergia - Período: Base período de Junho/2024 a Abril/2025.
Serão avaliados os aspectos de Governança, Gerenciamento de Riscos e Controles.","2025-05-19","2025-08-05","2025-09-10","Satisfatório com melhorias","s3://auditneo/raw/rel/head/year=2025/Relatório Final de Auditoria Interna - Follow Up Parcelamento e Troca de Titularidade - NCSR.json","2026-02-13T18:32:08.995083+00:00","2025","09"
"AUD-1464317","Processo de Arrecadação","Relatório Final","Neoenergia Elektro","2024-12-18","Perda financeira e menor fluxo de caixa","
Avaliar os controles do processamento de arrecadação de faturamento

Avaliar o processo de conciliação e registro contábil da arrecadação","Julho a Setembro/2024","18/12/2024
Relatório
Final
16/12/2024
Draft
emitido
01/10/2024
Data início 
do trabalho",,,,"Satisfatório com melhorias","s3://auditneo/raw/rel/head/year=2024/Relatório Final - Processo Arrecadação - Neo Elektro.json","2026-02-13T18:31:58.268348+00:00","2024","12"
"AUD-1464312","Gestão de Contratos","Relatório Final","Neoenergia Cosern","2024-10-21","Avaliar os controles sobre o gerenciamento de contratos de serviços e materiais dos 
principais fornecedores, cumprimento das obrigações e leis trabalhistas.","Gestão dos contratos em desacordo com as premissas da Companhia.","
Verificar a existência de pagamentos indevidos ou incorretos;

Verificar a existência de pagamentos em desacordo com as premissas contratuais;

Verificar a existência e composição dos aditivos contratuais.","Janeiro a Abril de 2024.","2024-05-17","2024-09-24","2024-10-21","Satisfatório com melhorias","s3://auditneo/raw/rel/head/year=2024/Relatório Final - Gestão de Contratos - Neoenergia Cosern.json","2026-02-13T18:31:56.674884+00:00","2024","10"
"AUD-1464308","Processo de Faturamento","Relatório Final","Neoenergia Pernambuco","2024-10-01","▪
Avaliar a adequação do processo de Faturamento do Grupo A e B, a interface dos
sistemas e respectivos recálculos;
▪
Verificar o cumprimento dos procedimentos quanto as retificações (refaturamento) de
faturas definidos.","Perda financeira e imagem.","▪
Avaliar a adequação dos procedimentos de faturamento dos grupos A e B.
▪
Verificar o cumprimento dos procedimentos e controle quanto as retificações das
faturas.","Janeiro a Maio/2024.",,"2024-09-12","2024-10-01","Satisfatório com melhorias","s3://auditneo/raw/rel/head/year=2024/Relatorio Final de Auditoria - Processo de Faturamento NPER.json","2026-02-13T18:31:54.369652+00:00","2024","10"
"AUD-1464321","Faturamento","Relatório Final","Neoenergia Comercialização","2024-09-26","Verificar se o faturamento de energia está sendo realizado de acordo com as condições 
contratuais","Faturamento em condições divergentes do contrato","
Verificar a acuracidade dos dados inseridos no sistema WBC

Verificar se o volume e valor faturado estão de acordo com a medição, volume e 
preço da modalidade de faturamento contratada

Verificar o cumprimento de emissão do faturamento","Faturamento realizado de junho a agosto/24.","2024-07-08","2024-09-26","2024-09-30","Satisfatório com melhorias","s3://auditneo/raw/rel/head/year=2024/Relatório Final - Faturamento NC.json","2026-02-13T18:31:56.109022+00:00","2024","09"
"AUD-1794379","Gestão e Recuperação de Perdas","Relatório Final","Neoenergia Brasília","2025-12-22","Não atendimento dos riscos/metas regulatórias.","
Avaliar a sistemática de cálculo de perdas para as distribuidoras do Grupo, quanto à
automação, variáveis consideradas e expurgos.

Recalcular o Índice de Perdas e consistência das suas principais variáveis.","Neoenergia Coelba, Neoenergia Pernambuco, Neoenergia Cosern, Neoenergia Elektro,
Neoenergia Brasília.","22/12/2025
Relatório
Final
28/11/2025
Draft
emitido
20/07/2025
Data início 
do trabalho",,,,"Satisfatório com melhorias","s3://auditneo/raw/rel/head/year=2024/Relatório - Gestão e recuperação de perdas - NEO BRASÍLIA.json","2026-02-13T18:31:54.650608+00:00","2025","12"
"AUD-1464304","Programa Manutenção - Redes","Relatório Final","Neoenergia Elektro","2024-07-03",,"A","Ɩ Avaliar a conformidade do Programa de Manutenção de Redes: Premissas na elaboração 
do Programa Anual de Manutenção (consistência dos critérios de priorização e matriz de 
risco); Cumprimento das metas físicas e financeiras (validação dos indicadores 
relacionados ao processo previsto x realizado); Garantia da qualidade dos serviços de 
manutenção executados (fiscalização das EPS e tratativas).
Ɩ Verificar a conformidade dos pagamentos às EPS: Adequação dos pagamentos 
(validações das medições); Adequação da apropriação dos custos (CAPEX / OPEX).","Plano de manutenção redes 2023 e 2024.",,"2024-05-31","2024-07-03",,"s3://auditneo/raw/rel/head/year=2024/Relatório Final  Programa Manutenção Neo Elektro.json","2026-02-13T18:31:55.777471+00:00","2024","07"
"AUD-1464308","Processo de Faturamento","Relatório Final","Neoenergia Elektro","2024-10-01","▪
Avaliar a adequação do processo de Faturamento do Grupo A e B, a interface dos
sistemas e respectivos recálculos;
▪
Verificar o cumprimento dos procedimentos quanto as retificações (refaturamento) de
faturas definidos.","Perda financeira e imagem.","▪
Avaliar a adequação dos procedimentos de faturamento dos grupos A e B.
▪
Verificar o cumprimento dos procedimentos e controle quanto as retificações das
faturas.","Janeiro a Maio/2024.",,"2024-09-12","2024-10-01","Satisfatório com melhorias","s3://auditneo/raw/rel/head/year=2024/Relatorio Final de Auditoria - Processo de Faturamento NEKT.json","2026-02-13T18:31:54.216038+00:00","2024","10"
"AUD-1464331","Programa de Manutenção – Hidrelétricas","Relatório Final",,"2024-06-11",,"A","Usinas hidrelétricas do Grupo Neoenergia (Base de dados 2022,2023 e 2024)","14/06/24
Relatório
Final
11/06/24
Draft
do
Relatório
07/06/24
Conclusão dos
testes",,,,,"s3://auditneo/raw/rel/head/year=2024/Relatório Final  - Manutenção Hidro.json","2026-02-13T18:31:55.590375+00:00","2024","06"
"AUD-1464367","Acompanhamento dos Objetivos ESG","Relatório Final","Neoenergia","2024-02-26",,"A","Ɩ Objetivo 1: Validar os resultados e metodologias dos cálculos dos objetivos ESG 
corporativos reportados ao mercado","Resultado dos objetivos ESG 2023",,"2024-02-19","2024-02-26",,"s3://auditneo/raw/rel/head/year=2024/Relatório Final de Auditoria -Acompanhamento Objetivos ESG (1).json","2026-02-13T18:32:02.215756+00:00","2024","02"
"AUD-1464304","Programa Manutenção - Redes","Relatório Final","Neoenergia Brasília","2024-07-03",,"A","Ɩ Avaliar a conformidade do Programa de Manutenção de Redes: Premissas na elaboração 
do Programa Anual de Manutenção (consistência dos critérios de priorização e matriz de 
risco); Cumprimento das metas físicas e financeiras (validação dos indicadores 
relacionados ao processo previsto x realizado); Garantia da qualidade dos serviços de 
manutenção executados (fiscalização das EPS e tratativas).
Ɩ Verificar a conformidade dos pagamentos às EPS: Adequação dos pagamentos 
(validações das medições); Adequação da apropriação dos custos (CAPEX / OPEX).","Plano de manutenção redes 2023 e 2024.",,"2024-05-31","2024-07-03",,"s3://auditneo/raw/rel/head/year=2024/Relatório Final - Programa Manutenção Neo Brasília.json","2026-02-13T18:31:58.631705+00:00","2024","07"
"AUD-1794381","Follow Up Parcelamento e Troca de Titularidade","Relatório Final","Neoenergia Brasília","2025-09-10","Verificar o cumprimento dos procedimentos estabelecidos para o parcelamento de 
débitos de energia, bem como ao processo de troca de titularidade.","Aumento do contas a receber/ inadimplência.","▪
Objetivo 1: Follow-up das recomendações do trabalho de Parcelamento de Débito
realizado em 2024: Analisar efetividade das recomendações sugeridas nos trabalhos,
reperformando os controles e validando evidências atuais quando necessário.
▪
Objetivo
2:
Analisar
as
execuções
e
efetividade
dos
Controles
Internos
implementados no processo de Parcelamento de Débito e troca de titularidade:
Avaliar as últimas 3 execuções dos Controles e seus respectivos desenhos.","Distribuidoras Neoenergia - Período: Base período de Junho/2024 a Abril/2025.
Serão avaliados os aspectos de Governança, Gerenciamento de Riscos e Controles.","2025-05-19","2025-08-05","2025-09-10","Satisfatório com melhorias","s3://auditneo/raw/rel/head/year=2025/Relatório Final de Auditoria Interna - Follow Up Parcelamento e Troca de Titularidade - NBSB.json","2026-02-13T18:32:08.583318+00:00","2025","09"
"AUD-1794369","Construção de Redes","Relatório Final","Transmissão","2025-12-22","Avaliar a evolução das construções das linhas de transmissão e a adequada gestão dos 
investimentos.","Atraso na entrega das linhas de transmissão e não recebimento da RAP.","Objetivo 1: Avaliar o monitoramento sobre o andamento das construções:
▪
Gestão dos prazos e evolução das construções;
▪
Gestão do CAPEX realizado versus aprovado;
▪
Evoluções das construções fisicamente versus desembolsos.","Transmissoras: Projetos em Construção – Novembro/2025.
Serão avaliados os aspectos de Governança, Gerenciamento de Riscos e Controles","2025-10-30","2025-12-17","2025-12-22","Satisfatório com melhorias","s3://auditneo/raw/rel/head/year=2025/Relatório Final Auditoria Interna - Construção de Redes - Transmissão.json","2026-02-13T18:32:07.554575+00:00","2025","12"
"AUD-1794323","Neoenergia.com AUDITORIA INTERNA Internal Use Revisão de Ciclos – SCIIF Benefícios para empregados-NEO","Relatório Final",,"2025-09-24","Unidades organizacionais: Corporativo
Período auditado: Todos os riscos e controles ativos no SCIIF do ciclo de Benefícios para empregados-NEO
Data de extração da matriz: 01/09/2025
Revisar a existência e suficiência de controles que mitiguem os riscos mapeados na ferramenta de controles
internos;
Revisar a efetiva execução e documentação dos controles do ciclo na ferramenta de controles internos;
Conclusão sobre os riscos já mapeados ou novos riscos identificados.",,,,,,,,"s3://auditneo/raw/rel/head/year=2025/Relatório Final - Revisão do Ciclo - Benefícios para empregados-NEO.json","2026-02-13T18:32:06.283637+00:00","2025","09"
"AUD-1464363","Políticas aprovadas pelo CA","Relatório Final",,"2025-12-26","Verificar o ambiente de controle sobre as principais políticas aprovadas pelo CA","Descumprimento dos requisitos de Governança Corporativa",,"Mapeamento e atualização de controles na data base de 26/11/2025","2025-11-10","2025-12-23","2025-12-26","Satisfatório com melhorias","s3://auditneo/raw/rel/head/year=2025/Relatório Final 2025 - Políticas CA.json","2026-02-13T18:32:07.320971+00:00","2025","12"
"AUD-1794379","Gestão e Recuperação de Perdas","Relatório Final","Neoenergia Elektro","2025-12-22","Não atendimento dos riscos/metas regulatórias.","
Avaliar a sistemática de cálculo de perdas para as distribuidoras do Grupo, quanto à
automação, variáveis consideradas e expurgos.

Recalcular o Índice de Perdas e consistência das suas principais variáveis.","Neoenergia Coelba, Neoenergia Pernambuco, Neoenergia Cosern, Neoenergia Elektro,
Neoenergia Brasília.","22/12/2025
Relatório
Final
28/11/2025
Draft
emitido
20/07/2025
Data início 
do trabalho",,,,"Satisfatório com melhorias","s3://auditneo/raw/rel/head/year=2024/Relatório - Gestão e recuperação de perdas - NEO ELEKTRO.json","2026-02-13T18:31:55.185661+00:00","2025","12"
"AUD-1794379","Gestão e Recuperação de Perdas","Relatório Final","Neoenergia Elektro","2025-12-22","Não atendimento dos riscos/metas regulatórias.","
Avaliar a sistemática de cálculo de perdas para as distribuidoras do Grupo, quanto à
automação, variáveis consideradas e expurgos.

Recalcular o Índice de Perdas e consistência das suas principais variáveis.","Neoenergia Coelba, Neoenergia Pernambuco, Neoenergia Cosern, Neoenergia Elektro,
Neoenergia Brasília.","22/12/2025
Relatório
Final
28/11/2025
Draft
emitido
20/07/2025
Data início 
do trabalho",,,,"Satisfatório com melhorias","s3://auditneo/raw/rel/head/year=2025/Relatório - Gestão e recuperação de perdas - NEO ELEKTRO.json","2026-02-13T18:32:05.194994+00:00","2025","12"
"AUD-1794379","Gestão e Recuperação de Perdas","Relatório Final","Neoenergia Cosern","2025-12-22","Não atendimento dos riscos/metas regulatórias.","
Avaliar a sistemática de cálculo de perdas para as distribuidoras do Grupo, quanto à
automação, variáveis consideradas e expurgos.

Recalcular o Índice de Perdas e consistência das suas principais variáveis.","Neoenergia Coelba, Neoenergia Pernambuco, Neoenergia Cosern, Neoenergia Elektro,
Neoenergia Brasília.","22/12/2025
Relatório
Final
28/11/2025
Draft
emitido
20/07/2025
Data início 
do trabalho",,,,"Satisfatório com melhorias","s3://auditneo/raw/rel/head/year=2025/Relatório - Gestão e recuperação de perdas - NEO COSERN.json","2026-02-13T18:32:04.963380+00:00","2025","12"
"AUD-1794349","Conformidade Ambiental Distribuição","Relatório Final","Neoenergia Coelba","2025-06-16","Verificar o cumprimento das legislações ambientais e condicionantes.","Não obtenção, suspensão ou cancelamento das licenças ambientais.","▪
Avaliar o rito do processo de licenciamento, autorização e anuência ambiental para
construções
e
alterações
de
redes
e
subestações
de
distribuição,
linhas
e
subestações de subtransmissão
▪
Avaliar os mecanismos de controles adotados para cumprimento das condicionantes
ambientais","Projetos licenciados em 2024 e posição de projetos remanescente em dezembro de
2024.","2025-02-17","2025-06-02","2025-06-16","Satisfatório com melhorias","s3://auditneo/raw/rel/head/year=2025/Relatorio Final de Auditoria - CAD - NCLB.json","2026-02-13T18:32:03.488571+00:00","2025","06"
"AUD-1464310","Parcelamento de Débitos","Relatório Final","Neoenergia Coelba","2024-07-03",,"A","Ɩ Verificar o cumprimento dos procedimentos estabelecidos para o parcelamento de 
débitos de energia e troca de titularidade;","Janeiro a Dezembro de 2023.",,"2024-06-24","2024-07-03",,"s3://auditneo/raw/rel/head/year=2024/Relatório Final de Auditoria - Parcelamento de Débitos - Neoenergia Coelba.json","2026-02-13T18:32:00.853318+00:00","2024","07"
