"finding_id","compromissos_da_auditoria","classificao","nome_da_constatao","constatao","descrio_do_plano_de_recomendao","status_da_constatao","creation_date","data_acordada_inicial","data_acordada__vencimento","data_acordada_aprovada_atualmente","end_date","proprietrio_da_resposta__descoberta","tipo_de_constatao","estado_del_trabajo","negcio_associado","proprietrio_da_constatao","progresso_validado","resposta","associated_main_risk_category","root_cause_analysis","root_cause_comments","organization_of_finding_response_owner","pasta_de_constatao","id_do_trabalho","partition_0","partition_1","partition_2"
"FND-9700","BR.Cumprimento do Plano de Trabalho Remoto",,"CORP - Revisar critérios de monitoramento do Programa de Trabalho Remoto","A Diretoria de Pessoas & Organização elaborou e apresentou à Diretoria do Grupo um monitoramento das premissas de trabalho remoto, considerando no máximo 2 dias remotos semanais para o período de 01/04/2024 a 26/04/2024 (4 semanas).
  Neste monitoramento foram considerados como desvio os colaboradores elegíveis que não cumpriram as premissas em todas as 4 semanas avaliadas, utilizando como base os acessos via VPN e Citrix, gerando um resultado de 0,8% (38 colaboradores) de não cumprimento. 
  Quando considerado o mesmo critério de P&O, utilizando adicionalmente dados de catracas, registros de ponto e acessos à rede local, obtivemos uma acuracidade de 0,4% (21 colaboradores).
  A Auditoria Interna considerou como desvio o não cumprimento da premissa em pelo menos 2 (duas) das 4 (quatro) semanas avaliadas, não apenas colaboradores inconformes nas 4 semanas, obtendo um descumprimento de 3%.
 Não identificamos em procedimento interno os critérios de avaliação do Programa de Trabalho Remoto. A formalização desses critérios trará mais clareza e acuracidade ao monitoramento do programa.","CORP - Estabelecer em procedimento interno critérios e periodicidade de monitoramento contínuo do Programa de Trabalho Remoto e reporte as lideranças responsáveis.","Implementado","2024-09-10 00:00:00.000","2025-03-31 00:00:00.000","2025-03-31 00:00:00.000",,"2025-11-03 00:00:00.000","MAGALHAES, RAQUEL MIRIA VIEIRA U454518","Opportunity","Trabalho finalizado","Corporate","REGO LISBOA OLIVEIRA, RODRIGO U340868","100%","Corrigir o risco",,,,"DEP CORP ORGANIZAÇÃO E BEM-ESTAR [NEOENERGIA/PRESIDÊNCIA NEOENERGIA/DIRET RECURSOS HUMANOS/SUP CORP REMUNERAÇÃO BENEF BEM-ESTAR ORG]",,"AUD-1464294","2026","2","6"
"FND-9697","BR.Cumprimento do Plano de Trabalho Remoto","Baixo","CORP - Trabalho Remoto de colaboradores não elegíveis (Técnicos e Operação)","A Diretoria de Pessoas e Organização estabeleceu em norma interna (NEO-OT-PES-087) que não estão elegíveis ao Programa de Trabalho Remoto os colaboradores que desenvolvem atividades de campo, que exigem visita técnica ou que trabalham em regime de escala ou de plantões (Técnicos e Operação).
  No período de Abril a Maio/2024 (9 semanas), verificamos a ocorrência de trabalho remoto em uma população de 10.334 colaboradores das categorias Técnico e Operação, considerando tolerância de 1 dia. Identificamos as seguintes inconformidades: ➢ 251 (2%) colaboradores técnicos realizaram trabalho remoto no período avaliado. ➢ 13 (0,1%) colaboradores da operação realizaram trabalho remoto no período avaliado.
  A Diretoria de Pessoas e Organização acompanha o cumprimento das premissas do Trabalho Remoto sob demanda, não existindo monitoramento contínuo sobre o tema. 
  O descumprimento das premissas do Trabalho Remoto pode promover redução no desempenho dos colaboradores e na satisfação de clientes internos e externos com as entregas. Bem como provocar perdas na sinergia das equipes e, consequentemente, na geração de valor para a Companhia. Ademais, o termo de adesão se faz importante quando de possíveis questionamentos trabalhistas.","CORP - Notificar os gestores de colaboradores técnicos e operacionais sobre a não possibilidade de realização de trabalho remoto, principalmente sem o termo de aceite assinado.","Implementado","2024-09-10 00:00:00.000","2024-10-11 00:00:00.000","2024-10-11 00:00:00.000","2024-10-11 00:00:00.000","2024-10-12 00:00:00.000","LIMA ISHIKI, RICARDO U358410","Deficiency","Trabalho finalizado","Corporate","REGO LISBOA OLIVEIRA, RODRIGO U340868","100%","Corrigir o risco",,,,"SUP CORP RELAÇÕES TRABALHISTAS [NEOENERGIA/PRESIDÊNCIA NEOENERGIA/DIRET RECURSOS HUMANOS]",,"AUD-1464294","2026","2","6"
"FND-9698","BR.Cumprimento do Plano de Trabalho Remoto","Baixo","CORP - Trabalho Remoto de colaboradores não elegíveis (Técnicos e Operação)","A Diretoria de Pessoas e Organização estabeleceu em norma interna (NEO-OT-PES-087) que não estão elegíveis ao Programa de Trabalho Remoto os colaboradores que desenvolvem atividades de campo, que exigem visita técnica ou que trabalham em regime de escala ou de plantões (Técnicos e Operação).
  No período de Abril a Maio/2024 (9 semanas), verificamos a ocorrência de trabalho remoto em uma população de 10.334 colaboradores das categorias Técnico e Operação, considerando tolerância de 1 dia. Identificamos as seguintes inconformidades: ➢ 251 (2%) colaboradores técnicos realizaram trabalho remoto no período avaliado. ➢ 13 (0,1%) colaboradores da operação realizaram trabalho remoto no período avaliado.
  A Diretoria de Pessoas e Organização acompanha o cumprimento das premissas do Trabalho Remoto sob demanda, não existindo monitoramento contínuo sobre o tema. 
  O descumprimento das premissas do Trabalho Remoto pode promover redução no desempenho dos colaboradores e na satisfação de clientes internos e externos com as entregas. Bem como provocar perdas na sinergia das equipes e, consequentemente, na geração de valor para a Companhia. Ademais, o termo de adesão se faz importante quando de possíveis questionamentos trabalhistas.","CORP - Avaliar junto a TI a viabilidade de bloqueio de colaboradores não elegíveis ao acesso remoto.","Implementado","2024-09-10 00:00:00.000","2024-12-15 00:00:00.000","2024-12-15 00:00:00.000","2024-12-15 00:00:00.000","2025-08-01 00:00:00.000","MAGALHAES, RAQUEL MIRIA VIEIRA U454518","Deficiency","Trabalho finalizado","Corporate","REGO LISBOA OLIVEIRA, RODRIGO U340868","100%","Corrigir o risco","4. Operational",,,"DEP CORP ORGANIZAÇÃO E BEM-ESTAR [NEOENERGIA/PRESIDÊNCIA NEOENERGIA/DIRET RECURSOS HUMANOS/SUP CORP REMUNERAÇÃO BENEF BEM-ESTAR ORG]",,"AUD-1464294","2026","2","6"
"FND-6863","BR.Plano de Saúde","Alto","CORP (1A) - REC 1: Pagamentos incorretos referentes a colaboradores e dependentes desligados do grupo","Avaliamos, para a posição abril/23, se a relação de vidas (42.338) cobradas nas faturas de pagamento converge com a relação de colaboradores e dependentes cadastrados no SAP. Identificamos 276 casos de ex-colaboradores, somados aos seus respectivos dependentes, os quais se encontram listados nas faturas de ativos da Neoenergia. Dos 276 casos, a Gerência de ADP nos informou – após pesquisa realizada – que 80 colaboradores/dependentes foram comunicados à Willis, porém não tiveram sua exclusão realizada no plano. A resolução normativa 488 da ANS (agência nacional de saúde) prevê a manutenção da assistência médica para ex-empregados, por período de acordo com os seus respectivos tempo de contribuição, desde que o beneficiário assuma o pagamento integral da mensalidade. No entanto, estas vidas estão constando nas subfaturas de ativos do grupo e sendo, portanto, custeados pela Neoenergia. Os boletos referentes aos casos apontados somam R$ 165 mil/mês. Ressaltamos que os valores apurados referem-se à competência analisada (abril/23), e que por se tratar de valores incorretos pagos mensalmente, o impacto financeiro pode se tornar superior ao montante levantado.","CORP: Implementar controle mensal com objetivo de detectar e informar a Gerência de Remuneração de Benefícios sobre a relação de colaboradores e dependentes cobrados pela Bradesco que não se encontram cadastrados no SAP.","Implementado","2023-08-28 00:00:00.000","2023-09-30 00:00:00.000","2023-09-30 00:00:00.000","2023-09-30 00:00:00.000","2023-04-10 00:00:00.000","LADEIA PEREIRA, IONARA U471468","Deficiency","Trabalho finalizado","Corporate","(OLD) FELIPE SILVA SOUTO, LUCAS U361236","100%","Corrigir o risco",,,,"DEP GBS ADMINISTRAÇÃO DE PESSOAL [NEOENERGIA/PRESIDÊNCIA NEOENERGIA/DIRETORIA EXEC CONTROLE PATRIM PLANEJ/SUP GLOBAL BUSINESS SERVICE NEOENERGIA]",,"AUD-1302391","2026","2","6"
"FND-6864","BR.Plano de Saúde","Alto","CORP (1A) - REC 2: Pagamentos incorretos referentes a colaboradores e dependentes desligados do grupo","Avaliamos, para a posição abril/23, se a relação de vidas (42.338) cobradas nas faturas de pagamento converge com a relação de colaboradores e dependentes cadastrados no SAP. Identificamos 276 casos de ex-colaboradores, somados aos seus respectivos dependentes, os quais se encontram listados nas faturas de ativos da Neoenergia. Dos 276 casos, a Gerência de ADP nos informou – após pesquisa realizada – que 80 colaboradores/dependentes foram comunicados à Willis, porém não tiveram sua exclusão realizada no plano. A resolução normativa 488 da ANS (agência nacional de saúde) prevê a manutenção da assistência médica para ex-empregados, por período de acordo com os seus respectivos tempo de contribuição, desde que o beneficiário assuma o pagamento integral da mensalidade. No entanto, estas vidas estão constando nas subfaturas de ativos do grupo e sendo, portanto, custeados pela Neoenergia. Os boletos referentes aos casos apontados somam R$ 165 mil/mês. Ressaltamos que os valores apurados referem-se à competência analisada (abril/23), e que por se tratar de valores incorretos pagos mensalmente, o impacto financeiro pode se tornar superior ao montante levantado.","CORP: Implementar controle mensal com objetivo de avaliar os casos divergentes apontados pela Gerência de ADP e deliberar as devidas tratativas.","Implementado","2023-08-28 00:00:00.000","2023-09-30 00:00:00.000","2023-09-30 00:00:00.000","2023-09-30 00:00:00.000","2023-04-10 00:00:00.000","SOUZA PEREZ, PAULO U350305","Deficiency","Trabalho finalizado","Corporate","(OLD) FELIPE SILVA SOUTO, LUCAS U361236","100%","Corrigir o risco",,,,"DEP CORP REMUNERAÇÃO E BENEFÍCIOS [NEOENERGIA/PRESIDÊNCIA NEOENERGIA/DIRET RECURSOS HUMANOS/SUP CORP REMUNERAÇÃO BENEF BEM-ESTAR ORG]",,"AUD-1302391","2026","2","6"
"FND-6865","BR.Plano de Saúde","Alto","CORP (1A) - REC 3: Pagamentos incorretos referentes a colaboradores e dependentes desligados do grupo","Avaliamos, para a posição abril/23, se a relação de vidas (42.338) cobradas nas faturas de pagamento converge com a relação de colaboradores e dependentes cadastrados no SAP. Identificamos 276 casos de ex-colaboradores, somados aos seus respectivos dependentes, os quais se encontram listados nas faturas de ativos da Neoenergia. Dos 276 casos, a Gerência de ADP nos informou – após pesquisa realizada – que 80 colaboradores/dependentes foram comunicados à Willis, porém não tiveram sua exclusão realizada no plano. A resolução normativa 488 da ANS (agência nacional de saúde) prevê a manutenção da assistência médica para ex-empregados, por período de acordo com os seus respectivos tempo de contribuição, desde que o beneficiário assuma o pagamento integral da mensalidade. No entanto, estas vidas estão constando nas subfaturas de ativos do grupo e sendo, portanto, custeados pela Neoenergia. Os boletos referentes aos casos apontados somam R$ 165 mil/mês. Ressaltamos que os valores apurados referem-se à competência analisada (abril/23), e que por se tratar de valores incorretos pagos mensalmente, o impacto financeiro pode se tornar superior ao montante levantado.","CORP: Avaliar, juntamente com a Willis/Bradesco, o montante indevido de mensalidades que foram pagas e definir se estes casos poderão ser descontados nos boletos futuros.","Implementado","2023-08-28 00:00:00.000","2023-09-30 00:00:00.000","2023-09-30 00:00:00.000","2023-09-30 00:00:00.000","2023-05-10 00:00:00.000","SOUZA PEREZ, PAULO U350305","Deficiency","Trabalho finalizado","Corporate","(OLD) FELIPE SILVA SOUTO, LUCAS U361236","100%","Corrigir o risco",,,,"DEP CORP REMUNERAÇÃO E BENEFÍCIOS [NEOENERGIA/PRESIDÊNCIA NEOENERGIA/DIRET RECURSOS HUMANOS/SUP CORP REMUNERAÇÃO BENEF BEM-ESTAR ORG]",,"AUD-1302391","2026","2","6"
"FND-5539","BR.SCIIF - Ativo Fixo & Inventário","Baixo","CORP (1A) - REC: Desenho do controle - 30159","Empresas: Distribuidoras Nordeste, Liberalizado, Renováveis e Transmissoras
 CONTROLE: 30159 - Rev.parametrização Caderno Serviço SAP-NEO
 A descrição do controle prevê a seguinte evidência:
-Anexar evidência da parametrização no SAP das ordens de serviço, indicando sua classificação (gasto / investimento) de acordo com o Caderno de Serviço vigente.
  
 Na execução de 10/03/2022, não identificamos a evidência de parametrização no sistema SAP, conforme requer desenho do controle. De acordo com Controles Internos, a área de negócio informou que “não cabe, no escopo atual, a revisão da parametrização do caderno de serviços da Neoenergia no SAP”.  Dessa forma, concluímos que o controle está incorretamente desenhado, apresentando erro de update (atualização).","Recomendamos que o desenho do controle seja revisado para que esteja alinhado com o processo vigente.","Implementado","2023-05-16 00:00:00.000","2023-01-31 00:00:00.000","2023-01-31 00:00:00.000","2023-01-31 00:00:00.000","2023-06-14 00:00:00.000","RODRIGUES GALINDO, SILVIA U460887","Deficiency","Trabalho finalizado","Corporate","REGO LISBOA OLIVEIRA, RODRIGO U340868","100%","Corrigir o risco",,,,"SUP CORP DE CONTROLES INTERNOS [NEOENERGIA/PRESIDÊNCIA NEOENERGIA/DIRETORIA EXEC CONTROLE PATRIM PLANEJ]",,"AUD-1147549","2026","2","6"
"FND-7284","BR.SCIIF - Compras e Seguros","Baixo","CORP (1A) - REC: Desenho do controle - 54899","Empresa: Neoenergia Corporação
 CONTROLE: 54899 - Rev.autorização contratações dos consórcios-NEO
  A descrição do controle prevê as seguintes evidências:
  - Anexar os e-mails recebido dos consórcios de CHTP e Baixo Iguaçu com a relação de todas as compras realizadas no período indicado ás que necessitam de aprovação da Neoenergia conforme regra estabelecida na norma de Limites e Alçadas vigente.
 - Anexar as atas de todas as aprovações em RD que ultrapassem 1.5MM para CHTP e Baixo Iguaçu.
  A escrita do controle para as aprovações em RD está desatualizada. O valor praticado atualmente está em R$6.5MM, diferente do que solicita o controle.","Recomendamos o redesenho do controle, a fim de que esteja coerente ao processo executado atualmente.","Implementado","2023-09-29 00:00:00.000","2023-10-31 00:00:00.000","2023-10-31 00:00:00.000","2023-10-31 00:00:00.000","2023-10-25 00:00:00.000","ERNESTO CAMPOS GONZALEZ, JOSE U359716","Deficiency","Trabalho finalizado","Corporate","COSTA LOPES, LUANI U357102","100%","Corrigir o risco",,,,"DEP CONTROLES INTERNOS FINANCEIROS [NEOENERGIA/PRESIDÊNCIA NEOENERGIA/DIRETORIA EXEC CONTROLE PATRIM PLANEJ/SUP CORP DE CONTROLES INTERNOS]",,"AUD-1147550","2026","2","6"
"FND-8171","BR.SCIIF - Fechamento Contábil/Reporting (Trans e Ren/lib)","Baixo","CORP (1A) - REC: Execução do controle - 23290","Empresa: Liberalizado e Renováveis BR
 CONTROLE: 23290 - Aprovação conflitos-transações críticas do SAP-NEO
 A descrição do controle prevê as seguintes evidências:
-Anexar documentação que evidencia que o fluxo de aprovação operacionalizado pelo IDM está de acordo com o previsto na matriz de risco.
 
 Na execução de 05/07/2023, verificamos na descrição do procedimento do controle: ""após aprovação de toda a cadeia é feita a atribuição de perfis no SAP e o acesso as transações críticas de forma automatizada"". Diante da descrição do procedimento, não conseguimos identificar esta etapa final de atribuição de perfis no SAP e o acesso as transações críticas (etapa 7 e 8 do fluxo do processo) e não identificamos a matriz de risco para validação com o fluxo de aprovação, conforme desenho do controle.
 Com isso, o controle não foi executado corretamente.","CORP: Recomendamos que o controle seja executado conforme o desenho.","Implementado","2023-12-22 00:00:00.000","2024-01-31 00:00:00.000","2024-01-31 00:00:00.000","2024-01-31 00:00:00.000","2024-01-31 00:00:00.000","ERNESTO CAMPOS GONZALEZ, JOSE U359716","Deficiency","Trabalho finalizado","Corporate","COSTA LOPES, LUANI U357102","100%","Corrigir o risco",,,,"DEP CONTROLES INTERNOS FINANCEIROS [NEOENERGIA/PRESIDÊNCIA NEOENERGIA/DIRETORIA EXEC CONTROLE PATRIM PLANEJ/SUP CORP DE CONTROLES INTERNOS]",,"AUD-1147557","2026","2","6"
"FND-5542","BR.SCIIF - Ativo Fixo & Inventário","Baixo","CORP (1A) - REC: Execução do controle - 30185","Empresas: Distribuidoras Nordeste, Elektro Redes, Liberalizado e Renováveis
 CONTROLE: 30185 - Revisão Auditoria de Obras Unitizadas-DISNOR
 A descrição do controle prevê a seguinte evidência:
-Anexar relação de planos de ação para correções dos registros físicos e contábeis com (i) status das ações concluídas e evidencia das atualizações realizadas , (ii) justificativa das ações não concluídas que estão em andamento como prazo para correção.
  
 Na execução de 15/12/2021, não identificamos a relação de planos de ação para correções dos registros físicos e contábeis com (i) status das ações concluídas e evidencia das atualizações realizadas, (ii) justificativa das ações não concluídas que estão em andamento como prazo para correção.","Recomendamos que o controle seja executado conforme desenho.","Implementado","2023-05-16 00:00:00.000","2023-01-31 00:00:00.000","2023-10-02 00:00:00.000","2023-10-02 00:00:00.000","2023-07-02 00:00:00.000","RODRIGUES GALINDO, SILVIA U460887","Deficiency","Trabalho finalizado","Corporate","REGO LISBOA OLIVEIRA, RODRIGO U340868","100%","Corrigir o risco",,,,"SUP CORP DE CONTROLES INTERNOS [NEOENERGIA/PRESIDÊNCIA NEOENERGIA/DIRETORIA EXEC CONTROLE PATRIM PLANEJ]",,"AUD-1147549","2026","2","6"
"FND-8172","BR.SCIIF - Fechamento Contábil/Reporting (Trans e Ren/lib)","Baixo","CORP (1A) - REC: Execução do controle - 34665 ","Empresa: Liberalizado e Renováveis BR e Transmissoras
 CONTROLE: 34665 - Comunicação cálculo JSCP-NEO
 A descrição do controle prevê as seguintes evidências:
-Anexar a planilha que consta o lucro tributável de todas as empresas com apuração de imposto pelo lucro real.
-Anexar a comunicação enviada ao Financeiro com o cálculo dos JSCP ser submetido a aprovação, demonstrando o valor calculado para todas as empresas que possuem lucro tributável acima de R$ 10 milhões, mesmo que o JSCP proposto seja zero.
  
 Na execução de 06/2023, verificamos que as análises de JSCP para Coelba e Cosern são realizadas trimestralmente, porém, não identificamos a comunicação enviada ao Financeiro com o cálculo dos JSCP, para Coelba e Cosern referente ao 1° trimestre.
 Com isso, o controle não foi executado corretamente.","CORP: Recomendamos a execução conforme o desenho do controle.","Implementado","2023-12-22 00:00:00.000","2024-01-31 00:00:00.000","2024-01-31 00:00:00.000","2024-01-31 00:00:00.000","2024-01-30 00:00:00.000","ERNESTO CAMPOS GONZALEZ, JOSE U359716","Deficiency","Trabalho finalizado","Corporate","COSTA LOPES, LUANI U357102","100%","Corrigir o risco",,,,"DEP CONTROLES INTERNOS FINANCEIROS [NEOENERGIA/PRESIDÊNCIA NEOENERGIA/DIRETORIA EXEC CONTROLE PATRIM PLANEJ/SUP CORP DE CONTROLES INTERNOS]",,"AUD-1147557","2026","2","6"
"FND-7292","BR.SCIIF - Contas a Pagar","Baixo","CORP (1A) - REC: Execução do controle - 43136","Empresa: Neoenergia Corporação CONTROLE: 43136 - Validação&comunic.adiant.fornecedor(Eólica)-RENBR
 A descrição do controle prevê as seguintes evidências:
 - Anexar a listagem de adiantamentos a fornecedores pendentes de baixa, incluindo suas justificativas, assim como os detalhes das garantias e/ou cláusulas contratuais associadas. - Anexar a comunicação enviada a área de Contas a Pagar com a relação de adiantamentos pendentes, com suas respectivas justificativas. - Confirmo que não existem pendencias: i) acima de 60 dias; ii) que, se somadas, não ultrapassem 10% da materialidade do negócio de Renováveis; iii) que os adiantamentos em aberto acima da materialidade, se houver, estão coberto por garantias e/ou cláusulas contratuais e não se referem a obras finalizadas.
 O controle solicita que seja avaliado pendencias: (i) acima de 60 dias; (ii) que, se somadas, não ultrapassem 10% da materialidade do negócio de Renováveis. Não identificamos a evidenciação das etapas mencionadas acima nas execuções de 10/01 e 10/04/2023. No entanto, verificamos que a execução de 10/07/2023 foi executada corretamente.","CORP: Recomendamos a execução conforme o desenho do controle.","Implementado","2023-04-10 00:00:00.000","2023-10-31 00:00:00.000","2023-10-31 00:00:00.000","2023-10-31 00:00:00.000","2023-04-10 00:00:00.000","ERNESTO CAMPOS GONZALEZ, JOSE U359716","Deficiency","Trabalho finalizado","Corporate","COSTA LOPES, LUANI U357102","100%","Corrigir o risco",,,,"DEP CONTROLES INTERNOS FINANCEIROS [NEOENERGIA/PRESIDÊNCIA NEOENERGIA/DIRETORIA EXEC CONTROLE PATRIM PLANEJ/SUP CORP DE CONTROLES INTERNOS]",,"AUD-1147553","2026","2","6"
"FND-8170","BR.SCIIF - Fechamento Contábil/Reporting (Trans e Ren/lib)","Baixo","CORP (1A) - REC: Execução do controle - 52123","Empresa: Liberalizado e Renováveis (CEO)
 CONTROLE: 52123 - Registro rateio compartilhamento pessoal-LIB/REN
 A descrição do controle prevê as seguintes evidências:
- Anexar a comunicação recebida da Superintendência Corporativa de Administração com os valores de rateio de compartilhamento de pessoal a contabilizar no mês e a matriz de compartilhamento.
- Anexar a conciliação contábil demonstrando que os valores registrados no SAP correspondem aos dados enviados pela Superintendência Corporativa de Administração, justificando as diferenças, caso haja.
  
 Na execução de 05/11/2023, verificamos que não foi disponibilizado a comunicação recebida da Superintendência Corporativa de Administração, conforme desenho do controle, apenas foram anexados os arquivos de conciliação e a matriz de compartilhamento.
 Com isso, o controle não foi executado corretamente.","CORP: Recomendamos que o controle seja executado conforme o desenho.","Implementado","2023-12-22 00:00:00.000","2023-12-22 00:00:00.000","2023-12-22 00:00:00.000","2023-12-22 00:00:00.000","2023-12-26 00:00:00.000","ERNESTO CAMPOS GONZALEZ, JOSE U359716","Deficiency","Trabalho finalizado","Corporate","COSTA LOPES, LUANI U357102","100%","Corrigir o risco",,,,"DEP CONTROLES INTERNOS FINANCEIROS [NEOENERGIA/PRESIDÊNCIA NEOENERGIA/DIRETORIA EXEC CONTROLE PATRIM PLANEJ/SUP CORP DE CONTROLES INTERNOS]",,"AUD-1147557","2026","2","6"
"FND-6408","BR.Incorporação dos Planos de Pensão","Médio","CORP (1A) - REC: Saldo do ativo garantidor inferior ao montante das reservas financeiras do plano PSAP/EKT","Entende-se por ativo garantidor, todas os investimentos realizados pelo plano de pensão, para garantir o pagamento das obrigações com os participantes. Estes investimentos podem ser em ações, renda fixa, imóveis e outros ativos.
 Uma das premissas de um fundo de pensão é manter o equilíbrio atuarial, assegurando que o montante do ativos garantidores sejam suficientes para manter à cobertura dos benefícios atuais e futuros.
 Com a finalidade de avaliar a saúde financeira dos planos, confrontamos o montante das reservas matemáticas com o montante dos ativos garantidores dos Planos BD PE, BD RN, BD BA, FACEB e PSAP/EKT, na posição dezembro/2022, e identificamos que o plano de pensão PSAP/EKT apresenta déficit técnico ajustado no montante aproximado de R$ 92 MM, o que pode representar a partir de 2024 um impacto financeiro negativo para a Neoenergia Elektro e seus colaboradores, uma vez que, terão de aportar valores para o devido equacionamento.
 Vale destacar que a transferência de gerenciamento do plano PSAP/EKT ainda não foi finalizado para a Néos Previdência Complementar, devido ao decurso do prazo legal de análises e manifestações, por parte da PREVIC, no tocante a finalização da solicitação da transferência de gerenciamento, e continua sendo administrado pela Vivest. A Diretoria de Recursos Humanos tem ciência do resultado deficitário apresentado pelo plano e vem atuando no monitoramento do tema junto à Vivest.","CORP: Acompanhar, junto a Vivest, a implementação do plano de custeio do equacionamento do déficit apurado de 2022, que será apresentado para deliberação da Diretoria.","Implementado","2023-06-19 00:00:00.000","2023-10-31 00:00:00.000","2023-10-31 00:00:00.000","2023-10-31 00:00:00.000","2024-10-01 00:00:00.000","MARIA MELO DE PAULA, ELIZA U360147","Deficiency","Trabalho finalizado","Corporate","NICOLE DE JESUS DIOGO, PAULA U497168","100%","Corrigir o risco",,,,"DEP CORP ATUARIAL [NEOENERGIA/PRESIDÊNCIA NEOENERGIA/DIRET RECURSOS HUMANOS]",,"AUD-1147447","2026","2","6"
"FND-4993","BR.Folha de Pagamento","Baixo","Corp (1A) - REC1: Aprovação de movimentações de cargos e salários","A Norma NEO-OT-PES-009 define a alçada de aprovação para as movimentações de pessoal (ANEXO I).
 Com base na referida norma, verificamos as alçadas de aprovação para movimentação de 30 colaboradores (06 Coelba, 05 Celpe, 05 Cosern, 05 Elektro, 03 NC1, 03 EFEB e 03 ET11), realizadas no período de janeiro a maio/2021 e identificamos 14 movimentações cuja aprovação foi realizada em desacordo com a norma, sendo 07 realizadas manualmente e 07 através do fluxo de aprovação do workflow no sistema SAP HR. (ANEXO I)
 Conforme informações do Departamento de Remuneração e Benefícios a norma NEO-OT-PES-009 encontra-se desatualizada.","Revisar e atualizar o normativo NEO-OT-PES-009 definindo de forma clara as aprovações necessárias para cada tipo de movimentação.","Implementado","2023-05-16 00:00:00.000","2022-01-31 00:00:00.000","2022-01-31 00:00:00.000","2022-01-31 00:00:00.000","2022-07-02 00:00:00.000","LIMA BOTELHO, GUSTAVO U349423","Deficiency","Trabalho finalizado","Corporate","LOPES DO NASCIMENTO CARVALHO, JACQUELINE U465916","100%","Corrigir o risco",,,,"DEP CORP REMUNERAÇÃO E BENEFÍCIOS [NEOENERGIA/PRESIDÊNCIA NEOENERGIA/DIRET RECURSOS HUMANOS/SUP CORP REMUNERAÇÃO BENEF BEM-ESTAR ORG]",,"AUD-1147383","2026","2","6"
"FND-4799","BR.Incorporação de Redes","Alto","Corp (1A) - REC1: Ausência de padrão na documentação exigida para os projetos de incorporação ","Distribuidoras (Neoenergia Coelba, Neoenergia Pernambuco e Neoenergia Cosern)
 Não foram identificadas evidências no Sistema de Gestão Integrado (SGI) de procedimentos orientativos sobre o arquivamento da documentação suporte dos projetos de investimentos de incorporação de redes.
 A ausência de definição e padronização das documentações necessárias na composição das pastas virtuais e pastas físicas dos projetos de investimento fragiliza todo o processo de incorporação bem como dificulta a obtenção dessas informações em caso de fiscalização, gerando um risco regulatório.
 Para a  Neoenergia Elektro foi considerado SM - Sugestão de Melhoria.","Corp (1A) - REC1: Elaborar checklist, publicado em SGI, definindo a documentação necessária para arquivamento na pasta de obras e especificando as necessidades por tipo de projeto de investimento.","Implementado","2023-05-16 00:00:00.000","2021-10-29 00:00:00.000","2021-10-29 00:00:00.000","2021-10-29 00:00:00.000","2021-12-29 00:00:00.000","MOTA RIBEIRO, LEANDRO U465896","Deficiency","Trabalho finalizado","Networks","MARIA LOTT OLIVEIRA, CRISTIANE U465965","100%","Corrigir o risco",,,,"DEP CORP BASE DE ATIVOS [NEOENERGIA/PRESIDÊNCIA NEOENERGIA/DIRETORIA EXEC CONTROLE PATRIM PLANEJ/SUP CORP CONTROLE ATIVOS CONFORM REGUL]",,"AUD-1147446","2026","2","6"
"FND-7294","BR.Monitoramento do ambiente Regulatório",,"CORP (1A) - SM: Previsão de automatização do processo para melhor eficiência das atividades","Realizamos levantamento junto a Superintendência de Regulação para identificarmos quais ações são realizadas internamente para o acompanhamento dos temas regulatórios que impactam o negócio Neoenergia. Dentre os principais ações praticadas, destacamos: i) leitura diária no Diário Oficial da União – DOU; ii) divulgação interna com as áreas dos temas correlatos; iii) previsões de substituições de funções de leitura e iv) double-check: releitura do DOU, para garantir o acompanhamento dos temas regulatórios.
 Identificamos que embora os controles apresentados se mostrem satisfatórios, todos são mecânicos e demandam ações manuais para a sua conclusão. Em nossas pesquisas adicionais, identificamos a existência de uma ferramenta automatizada utilizada na Administração Pública, denominada “Ro-DOU”, que tem por finalidade realizar buscas automatizadas no DOU dos temas de interesse previamente cadastrados, com a programação de envio do resultado destas buscas, por e-mail.
 Dessa forma, embora o processo manual não tenha apresentado falhas, consideramos que a automatização do processo pode trazer ganhos e eficiência para a área, contribuindo com a melhor performance das ações","CORP: Considerando que a automatização do processo aumenta a sua assertividade, melhora na eficácia operacional e consequente tomada de decisão, sugerimos que a área avalie a utilização de software automatizados como o Ro-DOU, para acompanhamento e monitoramento dos temas regulatórios, objetivando facilitar a busca dos temas de interesse para empresa","Implementado","2023-04-10 00:00:00.000","2024-04-30 00:00:00.000","2024-04-30 00:00:00.000",,"2024-04-29 00:00:00.000","FERNANDES LOBO NOGUEIRA, BRENO U461048","Opportunity","Trabalho finalizado","Corporate","NICOLE DE JESUS DIOGO, PAULA U497168","0%","Corrigir o risco",,,,"SUP REGULAÇÃO ECONÔM FINANC DISTRIBUIÇÃO [NEOENERGIA/PRESIDÊNCIA NEOENERGIA/DIRETORIA EXEC REGUL, INSTITUC E SUSTENT/DIRET REGULAÇÃO]",,"AUD-1147469","2026","2","6"
